Fund_name,Year,ms,lag_mr,performance,lag_perf,FUM,over_50,female,Average.fees,Fund_type,Cost.ratio
Fiducian Superannuation Fund,2004,0.162742057804155,NA,1.43081861958266,NA,461482,61.2932604735883,46.1748633879781,NA,Retail,1.93560376241596
Finsuper,2004,0.0892161957776707,NA,-0.169181380417337,NA,350530,12.8050189862968,59.8382037312201,NA,Industry,0.8977375797238
Fire and Emergency Services Superannuation Fund,2004,0.0300809927096686,NA,-0.569181380417335,NA,241170,NA,NA,NA,Public Sector,0.701828721337486
First Quest Retirement Service,2004,0.0980469166501475,NA,-0.169181380417337,NA,174256,55.835806132542,44.5598417408506,NA,Retail,2.20411681408665
First Super,2004,0.0774464822093074,NA,0.130818619582664,NA,314723,NA,NA,NA,Industry,1.12554388876477
Fkp Group Superannuation Fund,2004,0.00360649938700308,NA,-2.56918138041734,NA,9233,NA,NA,NA,Corporate,1.56482861400894
Food Industry Superannuation Trust,2004,0.029890556977203,NA,0.930818619582665,NA,116578,18.1263886735907,41.8023045522658,NA,Industry,0.947899095230793
Ford Employees Superannuation Fund,2004,0.0678932835064456,NA,5.23081861958267,NA,484958,NA,NA,NA,Corporate,0.29151076204942
Ford Management Retirement Plan,2004,0.0174886753072528,NA,5.03081861958266,NA,103976,NA,NA,NA,Corporate,0.53052156901754
Fred Hosking Pty Limited Staff Superannuation Plan,2004,0.000757816419914638,NA,0.830818619582663,NA,6336,NA,NA,NA,Corporate,1.40099094481462
Freedom of Choice Superannuation Masterfund,2004,0.0660419340660842,NA,0.730818619582664,NA,89184,23.754316724223,44.992599901332,NA,Retail,1.86919816443059
Freedom Superannuation Fund,2004,0.0123861756301592,NA,-5.56918138041734,NA,22421,NA,NA,NA,Corporate,2.56838060569291
FSP Super Fund,2004,0.223355591867483,NA,-3.16918138041734,NA,293069,57.0384493168097,38.6399745789641,NA,Retail,2.37029467158771
Fuji Xerox Australia Superannuation Fund,2004,0.0202549015654387,NA,4.53081861958266,NA,109298,NA,NA,NA,Corporate,0.469162247590188
Fujitsu Australia Superannuation Fund,2004,0.0211894109330018,NA,0.830818619582663,NA,172838,NA,NA,NA,Corporate,0.467666606228469
Furniture & Allied Industries Superannuation Scheme,2004,0.00379104535454706,NA,-3.06918138041734,NA,11740,NA,NA,NA,Corporate,0.949102074997674
